State,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Vehicle theft
MARYLAND,2008,3027935,2891509,136426,4.505578885,5633597,35393,493,1127,13203,20570,198165,38849,133983,25333
MARYLAND,2017,3243898,3114581,129317,3.986469365,6052177,30273,546,1691,11200,16836,134496,23508,97420,13568
NEW HAMPSHIRE,2005,726106,699674,26432,3.640239855,1309940,1729,18,405,359,947,23532,4153,18042,1337
VIRGINIA,2015,4233978,4048077,185901,4.390693575,8382993,16399,383,2340,4441,9235,156470,21340,127019,8111
UTAH,2015,1453456,1401944,51512,3.544104534,2995919,7071,54,1645,1326,4046,89278,12468,68103,8707
MISSOURI,2008,3065278,2875612,189666,6.187562759,5911605,29819,455,1615,7390,20359,216585,45788,150032,20765
MAINE,2000,677466,654968,22498,3.320904665,1274923,1397,15,320,247,815,32003,6775,23906,1322
DISTRICT OF COLUMBIA,2015,388446,361556,26890,6.922455116,672228,8531,162,494,3742,4133,31435,2971,25200,3264
WASHINGTON,2014,3495159,3287906,207253,5.92971593,7061530,20136,174,2695,5640,11627,261706,55290,175769,30647
NORTH DAKOTA,2010,379064,365043,14021,3.698847688,672591,1513,10,237,90,1176,11895,1966,9070,859
SOUTH DAKOTA,2011,445868,425370,20498,4.597324769,824082,2094,21,496,167,1410,14979,2899,11134,946
ARKANSAS,2005,1333890,1263665,70225,5.264676997,2779154,14659,186,1193,2531,10749,112775,30143,75348,7284
CALIFORNIA,2012,18484890,16541045,1943845,10.51585917,38041430,160944,1884,7837,56521,94702,1049465,245767,635090,168608
MISSOURI,2018,3048444,2949965,98479,3.23046774,6126452,30758,607,2912,5197,22042,162173,27257,115101,19815
ALABAMA,2001,2128030,2017471,110559,5.195368486,4464356,19582,379,1369,5584,12250,173253,40642,119992,12619
WEST VIRGINIA,2011,806575,743349,63226,7.83882466,1855364,5861,80,388,910,4483,42189,11192,28743,2254
OKLAHOMA,2000,1655522,1605951,49571,2.994282166,3450654,17177,182,1422,2615,12958,140125,31661,96116,12348
ARKANSAS,2004,1302388,1229550,72838,5.592649809,2752629,13737,176,1166,2372,10023,110464,30099,73874,6491
MONTANA,2010,500901,464814,36087,7.204417639,989415,2693,26,321,157,2189,25169,3654,19989,1526
IDAHO,2009,763638,696834,66804,8.748124111,1545801,3530,22,552,245,2711,30741,6558,22741,1442
UTAH,2014,1415781,1364354,51427,3.632412075,2942902,6346,67,1454,1312,3513,84711,11518,65895,7298
INDIANA,2004,3165260,2993997,171263,5.410708757,6237569,20294,316,1803,6373,11802,211929,42168,148670,21091
ILLINOIS,2005,6410781,6044694,366087,5.710489876,12763371,70392,766,4297,23187,42142,393148,77462,276301,39385
NEW YORK,2012,9602605,8775088,827517,8.61763032,19570261,79610,684,2848,28655,47423,376140,64553,294239,17348
MISSISSIPPI,2003,1304585,1224556,80029,6.134441221,2881281,9380,268,1077,3019,5016,107195,29839,68407,8949
NEW HAMPSHIRE,2002,700554,668985,31569,4.506290736,1275056,2056,12,446,413,1185,26250,4838,19468,1944
WYOMING,2013,302203,287794,14409,4.767987082,582658,1195,17,187,75,916,12809,1955,10276,578
KENTUCKY,2019,2068978,1983873,85105,4.113383516,4467673,9701,221,1572,2161,5747,84769,15443,59130,10196
WISCONSIN,2011,3072157,2839985,232172,7.557296063,5711767,13532,136,1163,4469,7764,138949,26654,104063,8232
ALASKA,2013,363543,338105,25438,6.997246543,735132,4708,34,922,624,3128,21210,2916,16599,1695
MICHIGAN,2004,5056153,4703966,352187,6.965513108,10112620,49577,643,5486,11320,32128,309208,64394,194259,50555
WEST VIRGINIA,2001,796592,753654,42938,5.390212304,1801916,5035,40,320,707,3968,41085,9601,28268,3216
WASHINGTON,2001,3085658,2900356,185302,6.005266948,5987973,21258,179,2600,5934,12545,287234,53024,195133,39077
HAWAII,2018,692457,675848,16609,2.398560488,1420491,3532,36,625,946,1925,40772,5631,29492,5649
WASHINGTON,2005,3259777,3077062,182715,5.60513802,6287759,21745,205,2811,5788,12941,307661,60343,198031,49287
GEORGIA,2015,4734097,4446519,287578,6.074611483,10214860,38643,615,3224,12247,22557,308723,66374,215867,26482
DELAWARE,2010,436194,398387,37807,8.667473647,897934,5575,48,312,1829,3386,30963,7515,21519,1929
RHODE ISLAND,2014,556635,513406,43229,7.766130409,1055173,2313,25,361,529,1398,22935,4823,16279,1833
CONNECTICUT,2019,1938640,1868768,69872,3.604176123,3565287,6546,104,771,1929,3742,50862,6441,38457,5964
ALABAMA,2015,2152304,2020451,131853,6.12613274,4858979,22952,348,2039,4611,15954,144746,35255,99156,10335
OREGON,2002,1834256,1696897,137359,7.488540313,3521515,10298,72,1238,2742,6246,161145,25696,118925,16524
VIRGINIA,2008,4128607,3952728,175879,4.260008279,7769089,19882,368,1758,7437,10319,195634,31993,150382,13259
IDAHO,2000,661075,630230,30845,4.665885111,1293953,3267,16,384,223,2644,37961,7330,28545,2086
WASHINGTON,2013,3460776,3230948,229828,6.640938333,6971406,20153,160,2573,5819,11601,258662,58353,171910,28399
INDIANA,2015,3266401,3109791,156610,4.7945736,6619680,25653,373,2404,7111,15765,171847,34410,123918,13519
NEW YORK,2019,9853964,9474511,379453,3.850765032,19453561,69764,558,6583,18068,44555,267155,27600,226851,12704
MONTANA,2015,517904,495728,22176,4.281874633,1032949,3611,36,547,210,2818,27100,3838,20844,2418
INDIANA,2018,3392587,3276807,115780,3.412734883,6691878,25581,438,2370,5939,16834,145838,25268,105242,15328
WISCONSIN,2017,3141758,3039351,102407,3.259544497,5795483,18539,186,2139,4345,11869,104802,17599,77735,9468
MISSISSIPPI,2015,1260020,1178023,81997,6.507595118,2992333,8254,259,1203,2294,4498,84790,24799,55748,4243
KENTUCKY,2000,1957418,1876241,81177,4.147146905,4041769,11903,193,1091,3256,7363,107723,25308,73141,9274
COLORADO,2008,2734403,2601713,132690,4.852613166,4939456,16946,157,2098,3365,11326,140725,28256,98950,13519
WASHINGTON,2003,3136262,2910012,226250,7.214001891,6131445,21276,184,2864,5718,12510,291544,58268,192657,40619
TEXAS,2010,12260119,11255455,1004664,8.194569726,25145561,113231,1249,7622,32843,71517,951246,228597,654626,68023
NEVADA,2018,1494697,1429287,65410,4.376137772,3034392,16420,202,2329,3862,10027,73985,17743,44338,11904
DISTRICT OF COLUMBIA,2018,395604,373202,22402,5.662733441,702455,6996,160,450,2415,3971,30724,1788,26343,2593
IDAHO,2010,762142,695263,66879,8.775136392,1567582,3465,21,525,214,2705,31286,6502,23462,1322
LOUISIANA,2005,1491214,1389191,102023,6.841606906,4523628,26889,450,1421,5337,19681,166611,39382,112840,14389
ARKANSAS,2009,1353345,1248694,104651,7.732765851,2889450,14959,179,1368,2582,10830,109038,34764,68171,6103
TENNESSEE,2001,2857666,2728623,129043,4.515678179,5740021,42778,425,2196,10219,29938,252992,59705,165015,28272
MONTANA,2000,470076,447387,22689,4.826666326,902195,2171,16,301,249,1605,29707,3946,23805,1956
ILLINOIS,2017,6562302,6237936,324366,4.942869133,12802023,56180,997,5556,17567,32060,257497,43459,193157,20881
MASSACHUSETTS,2012,3506458,3271256,235202,6.707680514,6646144,26953,121,1642,6552,18638,143089,34540,99317,9232
OREGON,2000,1811842,1717626,94216,5.200011922,3421399,12000,70,1286,2888,7756,153780,25618,114230,13932
SOUTH CAROLINA,2013,2197880,2034407,163473,7.437758203,4774839,24278,297,2171,3972,17838,173049,40958,119511,12580
DISTRICT OF COLUMBIA,2000,309977,292299,17678,5.703003771,572059,8626,239,251,3554,4582,33000,4745,21655,6600
MISSOURI,2013,3011199,2807117,204082,6.777433175,6044171,26197,371,2287,5484,18055,189606,38865,134416,16325
GEORGIA,2007,4810273,4573308,236965,4.92622768,9544750,47075,718,2178,17340,26839,372342,90690,239058,42594
SOUTH CAROLINA,2001,1941962,1839249,102713,5.289135421,4063011,29265,255,1380,5310,22320,163838,36831,112247,14760
OREGON,2001,1815082,1699365,115717,6.375304256,3472867,10650,84,1174,2749,6643,164524,26648,123034,14842
IOWA,2007,1662163,1600514,61649,3.708962358,2988046,8805,37,904,1313,6551,78154,16941,56328,4885
MASSACHUSETTS,2002,3436861,3257520,179341,5.218162736,6427801,31137,173,1777,7169,22018,167753,33243,107922,26588
SOUTH DAKOTA,2015,453095,439295,13800,3.045718889,858469,3289,32,495,216,2546,16680,2960,12532,1188
NEW JERSEY,2004,4348047,4134064,213983,4.921358946,8698879,30943,392,1331,13076,16144,211313,41030,139977,30306
OREGON,2012,1964668,1791251,173417,8.826783966,3899353,9653,92,1140,2413,6008,125723,21901,93619,10203
OHIO,2019,5877460,5632578,244882,4.166459661,11689100,34269,538,5731,8846,19154,240291,43894,177725,18672
CALIFORNIA,2014,18676701,17264524,1412177,7.561169395,38802500,153709,1699,11527,48680,91803,947192,202670,592670,151852
LOUISIANA,2003,2024923,1897908,127015,6.272584192,4496334,29062,586,1849,7069,19558,195569,44877,130810,19882
MISSOURI,2009,3061717,2784897,276820,9.041332037,5987580,29444,383,1607,7452,20002,202698,43787,141432,17479
MINNESOTA,2009,2932062,2699977,232085,7.915419251,5266214,12842,74,1789,3619,7360,139083,25488,105076,8519
MAINE,2016,693921,667725,26196,3.775069496,1331479,1648,20,412,266,950,21912,4003,17134,775
CONNECTICUT,2004,1777520,1687124,90396,5.085512399,3503604,10032,91,724,4222,4995,92046,15570,65451,11025
SOUTH DAKOTA,2019,464339,451357,12982,2.795802205,884659,3530,17,642,195,2676,15667,2646,11265,1756
GEORGIA,2019,5160528,4975977,184551,3.57620383,10617423,36170,654,2922,7961,24633,252249,39506,188967,23776
DISTRICT OF COLUMBIA,2012,365176,332412,32764,8.972112077,632323,7864,88,236,4036,3504,30736,3519,23556,3661
IDAHO,2018,862436,837769,24667,2.860154261,1754208,3983,35,791,200,2957,25636,4940,18732,1964
IDAHO,2016,812922,783180,29742,3.658653598,1683140,3876,49,719,213,2895,29357,6318,20962,2077
IOWA,2014,1698722,1626676,72046,4.241188376,3107126,8497,60,1128,1045,6264,65056,14428,46477,4151
RHODE ISLAND,2004,555681,526489,29192,5.253373788,1080632,2673,26,320,731,1596,31166,5465,21623,4078
RHODE ISLAND,2011,562064,500110,61954,11.02258818,1051302,2602,14,304,746,1538,28141,6964,18890,2287
NORTH CAROLINA,2018,4911891,4715617,196274,3.99589486,10383620,39210,628,2633,8423,27526,258979,62290,179057,17632
NEW HAMPSHIRE,2014,743761,711741,32020,4.305146411,1326813,2602,12,594,537,1459,26041,4162,21022,857
MONTANA,2019,543742,524685,19057,3.504787197,1068778,4328,27,624,205,3472,23440,2887,18176,2377
VIRGINIA,2016,4254361,4084833,169528,3.984805239,8411808,18302,484,2737,4803,10278,156412,20018,126606,9788
NORTH CAROLINA,2012,4720207,4271387,448820,9.508481302,9752073,34464,479,1984,9392,22609,328594,99323,213151,16120
OREGON,2005,1848901,1734714,114187,6.175939112,3641056,10444,80,1266,2478,6620,160199,27621,113316,19262
MISSISSIPPI,2019,1278600,1208100,70500,5.513843266,2976149,8272,332,747,1700,5493,70707,18660,46300,5747
WEST VIRGINIA,2014,795730,743952,51778,6.506981011,1850326,5588,74,505,651,4358,37648,8973,26779,1896
VIRGINIA,2000,3606403,3524488,81915,2.271376771,7078515,19943,401,1616,6295,11631,194405,30434,146158,17813
ARIZONA,2002,2683504,2518052,165452,6.165520901,5456453,30171,387,1608,8000,20176,318296,59087,201541,57668
WISCONSIN,2018,3123896,3030654,93242,2.98479847,5813568,17176,176,2248,3489,11263,90686,14099,67953,8634
NEW YORK,2017,9838172,9382751,455421,4.629122158,19849399,70799,548,6324,20108,43819,300555,35002,252143,13410
NORTH CAROLINA,2003,4285408,3997955,287453,6.707716045,8407248,38246,509,2139,12229,23369,359660,100687,232081,26892
ARIZONA,2011,3051938,2763760,288178,9.442459185,6482505,26311,405,2264,7127,16515,230422,54929,155664,19829
SOUTH DAKOTA,2018,459206,446417,12789,2.785024586,882235,3570,12,614,262,2682,15251,2571,11156,1524
NEVADA,2011,1360791,1179654,181137,13.31115506,2723322,15309,141,912,4299,9957,69731,20214,40032,9485
HAWAII,2007,636711,619225,17486,2.746300912,1283388,3501,22,326,1105,2048,54228,9097,38416,6715
MAINE,2008,701930,664446,37484,5.340133632,1316456,1547,31,375,333,808,32285,6522,24587,1176
ALABAMA,2016,2155731,2029159,126572,5.871419022,4863300,25886,407,1916,4686,18877,143362,34065,97574,11723
OKLAHOMA,2018,1831262,1771251,60011,3.27702972,3943079,18380,206,2299,2791,13084,113364,26858,73217,13289
MISSISSIPPI,2000,1309884,1239845,70039,5.346962021,2844658,10267,255,1019,2703,6290,103644,26918,69758,6968
VERMONT,2008,353978,337935,16043,4.532202566,621270,844,17,127,89,611,15771,3462,11724,585
NEW MEXICO,2010,928864,856605,72259,7.779287388,2059179,12126,142,958,1614,9412,70742,21014,44481,5247
NEW MEXICO,2002,866852,819276,47576,5.488364796,1855059,13719,152,1027,2206,10334,80477,19634,53406,7437
NEW JERSEY,2011,4561791,4134709,427082,9.362156223,8821155,27203,380,1006,12209,13608,189719,43238,129066,17415
KENTUCKY,2002,1944687,1832253,112434,5.781598787,4092891,11418,184,1088,3063,7083,107381,27855,70776,8750
OHIO,2010,5871481,5267307,604174,10.28997624,11536504,36366,476,3699,16479,15712,374381,106521,246742,21118
TENNESSEE,2008,3060797,2862102,198695,6.491609865,6214888,44897,408,2062,10800,31627,251245,65006,167015,19224
SOUTH CAROLINA,2016,2286059,2174303,111756,4.88858774,4961119,24896,366,2387,4035,18108,160928,32976,114032,13920
HAWAII,2015,670595,647616,22979,3.426658415,1431603,4201,19,561,1203,2418,54346,6557,42010,5779
KANSAS,2019,1504558,1455266,49292,3.27617812,2913314,11968,105,1416,1293,9154,67428,9984,50165,7279
PENNSYLVANIA,2004,6212835,5878612,334223,5.379556998,12406292,50998,650,3535,18474,28339,299611,54443,214199,30969
MONTANA,2018,535147,515217,19930,3.724210357,1062305,3974,34,551,269,3120,26518,3257,20465,2796
MINNESOTA,2016,3023123,2906351,116772,3.86262815,5519952,13394,101,2348,3728,7217,117756,18606,90422,8728
DISTRICT OF COLUMBIA,2013,374199,342609,31590,8.442032181,646449,8406,103,395,4078,3830,31083,3316,24533,3234
MAINE,2018,700855,678586,22269,3.177404741,1338404,1501,24,446,228,803,18173,2713,14683,777
NEVADA,2009,1367371,1207055,160316,11.72439667,2643085,18559,157,1021,6021,11360,80763,21994,46390,12379
RHODE ISLAND,2018,572664,549530,23134,4.039716134,1057315,2317,16,481,454,1366,17561,2810,13220,1531
NORTH DAKOTA,2012,395496,383894,11602,2.933531565,699628,1712,28,272,131,1281,14063,2377,10535,1151
MASSACHUSETTS,2007,3433228,3277911,155317,4.523934909,6449755,27832,184,1634,7006,19008,154246,35662,103592,14992
FLORIDA,2000,7917863,7620685,297178,3.753260192,15982378,129777,903,7057,31809,90008,780377,172898,518298,89181
COLORADO,2000,2358379,2294111,64268,2.725092108,4301261,14367,134,1774,3034,9425,156937,27133,112843,16961
COLORADO,2019,3105583,3022828,82755,2.66471706,5758736,21938,218,3872,3663,14185,149189,20064,107012,22113
